Rank,Title,Score,Volumes,Release Date,Members
1,Berserk,9.47,?,Aug 1989,"735,627"
2,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.32,24,Jan 2004 - Apr 2011,"285,336"
3,Vagabond,9.26,37,Sep 1998 - May 2015,"413,484"
4,One Piece,9.22,?,Jul 1997,"650,050"
5,Monster,9.16,18,Dec 1994 - Dec 2001,"262,585"
6,Slam Dunk,9.08,31,Sep 1990 - Jun 1996,"182,262"
7,Vinland Saga,9.08,?,Apr 2005,"324,852"
8,Fullmetal Alchemist,9.04,27,Jul 2001 - Sep 2010,"304,358"
9,Grand Blue,9.03,?,Apr 2014,"184,617"
10,Kingdom,9.01,?,Jan 2006,"181,998"
11,Oyasumi Punpun,9.00,13,Mar 2007 - Nov 2013,"475,043"
12,Houseki no Kuni,8.97,13,Oct 2012 - Apr 2024,"147,459"
13,Real,8.95,?,Oct 1999,"96,363"
14,20th Century Boys,8.94,22,Sep 1999 - Apr 2006,"281,007"
15,Ashita no Joe,8.93,20,Jan 1968 - May 1973,"56,589"
16,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,8.90,9,Jan 2012 - Jun 2015,"18,803"
17,Yotsuba to!,8.90,?,Mar 2003,"163,347"
18,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.89,28,May 2015 - Nov 2022,"282,609"
19,GTO,8.87,25,Dec 1996 - Jan 2002,"177,133"
20,3-gatsu no Lion,8.86,?,Jul 2007,"71,496"
21,Haikyuu!!,8.86,45,Feb 2012 - Jul 2020,"227,751"
22,Koe no Katachi,8.85,7,Aug 2013 - Nov 2014,"277,467"
23,Sousou no Frieren,8.83,?,Apr 2020,"140,118"
24,Akatsuki no Yona,8.82,?,Aug 2009,"141,044"
25,Kaze no Tani no Nausicaä,8.81,7,Oct 1982 - Feb 1994,"61,567"
26,Nana,8.80,21,May 2000 - May 2009,"153,634"
27,Kokou no Hito,8.80,17,Nov 2007 - Oct 2011,"123,001"
28,Kaoru Hana wa Rin to Saku,8.80,?,Oct 2021,"89,263"
29,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",8.77,3,Aug 2016 - Oct 2017,"174,466"
30,Hunter x Hunter,8.76,?,Mar 1998,"288,983"
31,Uchuu Kyoudai,8.75,?,Dec 2007,"37,242"
32,Dungeon Meshi,8.75,14,Feb 2014 - Sep 2023,"91,768"
33,Hajime no Ippo,8.74,?,Sep 1989,"92,573"
34,Made in Abyss,8.73,?,Oct 2012,"169,791"
35,Veil,8.73,?,Nov 2019,"15,455"
36,Shoujo Shuumatsu Ryokou,8.72,6,Feb 2014 - Jan 2018,"76,149"
37,One Punch-Man,8.72,?,Jun 2012,"501,738"
38,Kono Oto Tomare!,8.70,?,Aug 2012,"46,488"
39,Chainsaw Man,8.70,?,Dec 2018,"657,573"
40,Mushishi,8.70,10,Oct 1999 - Aug 2008,"88,422"
41,Death Note,8.69,12,Dec 2003 - May 2006,"409,068"
42,Beck,8.69,34,Feb 2000 - Jun 2008,"84,009"
43,Dorohedoro,8.68,23,Nov 2000 - Sep 2018,"186,469"
44,Natsume Yuujinchou,8.67,?,Jun 2003,"46,169"
45,Akira,8.66,6,Dec 1982 - Jun 1990,"138,298"
46,Bungou Stray Dogs: Beast,8.66,4,Dec 2019 - Jan 2022,"16,877"
47,Yokohama Kaidashi Kikou,8.65,14,Apr 1994 - Feb 2006,"78,478"
48,Yagate Kimi ni Naru,8.65,8,Apr 2015 - Sep 2019,"111,889"
49,Tongari Boushi no Atelier,8.65,?,Jul 2016,"103,519"
50,Sayonara Eri,8.64,1,Apr 2022 - Apr 2022,"135,863"
